Site,Metric,Value,Display_Format
MIMIC IV,"Epinephrine dose, median [Q1,Q3]","0.02 [0.01,0.05]",text
MIMIC IV,IMV encounters n (%),35274 (41.4%),text
MIMIC IV,First location of intubation n(%),,
MIMIC IV,ICU,34668 (98.3%),text
MIMIC IV,ED,48 (0.1%),text
MIMIC IV,Procedural,157 (0.4%),text
MIMIC IV,Ward,310 (0.9%),text
MIMIC IV,Other,91(0.26%),text
MIMIC IV,Initial Mode of IMV n(%),,
MIMIC IV,Assist Control-Volume Control,16781 (47.6%),text
MIMIC IV,Pressure-Regulated Volume Control,13170 (37.3%),text
MIMIC IV,SIMV,391 (1.1%),text
MIMIC IV,Pressure support/CPAP,3792 (10.8%),text
MIMIC IV,Pressure Control,175 (0.5%),text
MIMIC IV,Volume Support,244 (0.7%),text
MIMIC IV,Other,721(2.04%),text
MIMIC IV,"Ventilator settings Median [Q1, Q2]",,
MIMIC IV,Peep,"5.00 [5.00,8.00]",text
MIMIC IV,FiO2,"0.45 [0.40,0.62]",text
MIMIC IV,Respiratory rate,"16.00 [14.00,20.00]",text
MIMIC IV,Tidal Volume,"450.00 [400.00,500.00]",text
